"impression";;;;"19";"6";"431230";"18856";"[18841,18842]";"26848";"[1,5]";"[213428]";;"2";"65547";;"48811";"48985";"0";"78119";;;"61990";"16";"0";"78684257";;"13554";;"17332";;"0";;"{\"378511\":3,\"27979\":5,\"31556\":6,\"3571\":4,\"16410\":4,\"2844\":1,\"276852\":9,\"33542193\":13}";;;;"1594775";;"9376";;"1";"0";;;;"{\"761814\":255,\"472452\":255,\"472366\":255}";"504182";;"34";;"{\"19\":255}";"1";;;;"1138505";"0";;"1275566";"[1543871]";"{\"ints\":{\"3\":[134424551,137730973,75887454,123985427]}}";"1378910732268"
"impression";;;;"515626";"984356";"10";"18848";"[18841,18842]";"26848";"[3,10,13]";"[0]";;"2";"33331";;"48811";"48985";"0";"52193";;;"1453895";"16";"2";"137771704";;"2522";;"17332";;"0";;"{\"9832932\":1,\"92574\":3,\"36067101\":5,\"36067102\":16,\"2340\":3,\"33568757\":10,\"218051\":9,\"21907\":0,\"19350\":3}";;"315003";;"1597022";;"1557";;"25";"0";;;;"{\"472366\":255,\"472359\":255,\"472383\":255}";"654013";;"34";;"{\"9\":255}";"1";;;;"1138207";"2583761472";;"1275566";;"{\"ints\":{\"3\":[47327848,124476241,137916898,138681907,139446762,139429843]}}";"1378910732325"
"impression";;;;"7";"155";"10";"24179";"[18841,18842]";"26848";"[3,6,10]";"[200250]";;"2";"33331";;"48811";"48985";"0";"52193";;;"62037";"16";"0";"45294264";;"2522";;"17332";;"0";;"{\"3835092\":4,\"32946644\":2,\"63620\":1,\"32944229\":2,\"1913\":3,\"8127\":5,\"28219\":0,\"84033\":0,\"9745\":0,\"3052064\":0,\"32951182\":7,\"2241199\":4,\"39017\":0,\"169514\":0,\"19350\":2,\"178806\":1,\"7471904\":1}";;"315003";;"1594775";;"1557";;"32";"0";;;;"{\"472434\":255,\"472375\":255,\"472366\":255}";"654013";;"34";;"{\"19\":255}";"1";;;;"1138207";"0";;"1275566";;"{\"ints\":{\"3\":[139513078,136219289,88266035,97461716,139402867,133106789]}}";"1378910732352"
"impression";;;;"1151293";"317849";"10";"18846";"[18841,18842]";"26848";"[1,5]";"[213743]";;"2";"33331";;"48811";"48985";"0";"78119";;;"63115";"16";"1";"75921402";;"13554";;"17332";;"0";;;;"315148";;"1587935";;"8448";;"1";"0";;;;"{\"761814\":255,\"472366\":255,\"472370\":255}";"654013";;"34";;"{\"19\":255}";"1";;;;"1138207";"1829827265";;"1275566";;"{\"ints\":{\"3\":[139166752,138604331,139087927,121784478,134545529,138724488]}}";"1378910732375"
"impression";"{\"8\":255}";"[19,15,79,53,65,15,6]";"[86,40,22,72,20,12]";"312613";"6";"471311";"18851";"[18841,18842]";"26848";"[3]";"[157987]";;"2";"74964";;"48812";"48985";"0";"52193";;;"63941";"16";"0";"137388403";;"694";;"17332";"0";"0";;"{\"335372\":1,\"26347\":1,\"34336\":0,\"97540\":1,\"469542\":8,\"15026\":2,\"158\":2,\"65310\":1,\"1576425\":1,\"1810826\":4,\"1864723\":1,\"211688\":0,\"24253\":7,\"1630127\":6,\"84803\":0,\"31554\":0,\"33506977\":5,\"2566836\":0}";;"315003";;"1594775";;"14892";;"60";"0";;;;"{\"472407\":255,\"472366\":255,\"472562\":255}";"504183";;"34";;"{\"10\":255}";"0";;;;"1138207";"1959213572";;"1275566";;"{\"ints\":{\"3\":[139293724]}}";"1378910732409"
"impression";"{\"7\":255}";"[21,11,50,74,60,23,11]";"[50,28,34,98,28,15]";"515626";"6";"10";"18851";"[18841,18842]";"26848";"[1,6]";"[1699033]";;"1";"33331";;"48811";"48985";"0";"52193";;;"69515";"16";"5";"139352952";;"596";;"17332";;"0";;"{\"1156\":1,\"33032714\":2,\"564977\":10,\"419324\":5,\"5034\":1,\"33157848\":3,\"22954\":1,\"245073\":1,\"2037325\":1,\"685326\":0,\"11743840\":0,\"15261690\":1,\"528776\":2,\"575972\":2,\"173\":2,\"43850\":0,\"29246\":1,\"1854621\":7}";;"315003";;"1597022";;"970";;"32";"0";;;;"{\"472375\":255,\"472452\":255,\"761812\":255}";"654013";;"34";;"{\"2\":255}";"1";;;;"1138207";"2825406683";;"1275566";;"{\"ints\":{\"3\":[139492636,131521928,139337946,139463997,139338591,138517666]}}";"1378910732502"
"impression";"{\"7\":255}";"[21,11,50,74,60,23,11]";"[50,28,34,98,28,15]";"312613";"6";"471265";"18849";"[18841,18842]";"26848";"[6,13]";"[1201425]";;"2";"33331";;"48811";"48985";"0";"78119";;;"62058";"16";"5";"139513795";;"596";;"17332";;"0";;"{\"21755\":0,\"623459\":3,\"26100047\":1,\"675032\":2,\"600543\":2,\"208285\":5,\"501874\":8,\"218565\":1,\"3052064\":0,\"27275\":0,\"2257\":8,\"23455\":0,\"214221\":1,\"32948606\":2,\"690\":0}";;"315003";;"1597022";;"970";;"32";"0";;;;"{\"472358\":255,\"472376\":255,\"472375\":255}";"504182";;"34";;"{\"1\":255}";"1";;;;"1138207";"2825606733";;"1275566";;"{\"ints\":{\"3\":[139492636,129242113,139514041,139481677,139464502,134905537]}}";"1378910732558"
"impression";;;;"312613";"12";"431211";"18847";"[18841,18842]";"26848";"[1]";"[213300]";;"2";"33331";;"48811";"48985";"0";"52193";;;"62646";"16";"2";"78573562";;"13554";;"17332";;"0";;"{\"19113\":4,\"154547\":1,\"7575007\":0,\"255092\":0,\"2038186\":0,\"17997250\":1,\"111781\":2,\"694425\":0,\"34394822\":5,\"3385\":0,\"69002\":2,\"32980689\":2,\"27747\":2,\"14032\":0}";;"315003";;"1594775";;"8448";;"25";"0";;;;"{\"761814\":255,\"472366\":255,\"761812\":255}";"654013";;"34";;"{\"19\":255}";"1";;;;"1138207";"2807910609";;"1275566";;"{\"ints\":{\"3\":[77966201,138604403,78267866,79498016,136629198,135968114]}}";"1378910732561"
"impression";;;;"34";"84";"431260";"18850";"[18841,18842]";"26848";"[1]";"[213443]";;"2";"65547";;"48811";"48985";"0";"78119";;;"61958";"16";"2";"121975990";;"13554";;"17332";;"0";;;;;;"1597022";;"9376";;"60";"0";;;;;"504182";;"34";;"{\"16\":255}";"1";;;;"1138207";"2726144370";;"1275566";"[1543871]";"{\"ints\":{\"3\":[120603276,134031967,76157323,93495485]}}";"1378910732608"
"impression";"{\"7\":255}";"[21,11,50,74,60,23,11]";"[50,28,34,98,28,15]";"26";"48";"91";"18850";"[18841,18842]";"26848";"[6]";"[1201460]";;"2";"33331";;"48811";"48985";"0";"52193";;;"61958";"16";"8";"139528471";;"596";;"17332";;"0";;"[]";;"315003";;"1597022";;"970";;"32";"0";;;;;"654013";;"34";;"{\"1\":255}";"1";;;;"1138207";"2670739286";;"1275566";;"{\"ints\":{\"3\":[139330550,135356978,139463997,139514041,139517410,137995253]}}";"1378910732810"
"click";"{\"7\":255}";"[11,11,61,60,61,26,21]";"[55,28,34,91,23,21]";"312613";"976";"431211";"18872";"[18841,18842,48511]";"26848";"[10]";"[13838]";;"2";"33331";;"48811";"48985";"0";"78119";"2700";;"68056";"16";"3";"90167779";;"1677";;"17332";;;;;;"315003";;"1597022";;"748";;"44";"8";;;;;"654013";;"32";;"{\"19\":255}";"1";;;;"1138207";"870891935";;"1275566";;"{\"ints\":{\"3\":[139213021]}}";"1378910732809"
